prname,date,reporting_week,totalcases,ratecases_total,numdeaths,ratedeaths
British Columbia,2020-02-01,5,1,0.02,0,0.0
Alberta,2020-02-01,5,0,0.0,0,0.0
Saskatchewan,2020-02-01,5,0,0.0,0,0.0
Manitoba,2020-02-01,5,0,0.0,0,0.0
Ontario,2020-02-01,5,3,0.02,0,0.0
Quebec,2020-02-01,5,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-01,5,0,0.0,0,0.0
New Brunswick,2020-02-01,5,0,0.0,0,0.0
Nova Scotia,2020-02-01,5,0,0.0,0,0.0
Prince Edward Island,2020-02-01,5,0,0.0,0,0.0
Yukon,2020-02-01,5,0,0.0,0,0.0
Northwest Territories,2020-02-01,5,0,0.0,0,0.0
Nunavut,2020-02-01,5,0,0.0,0,0.0
Repatriated travellers,2020-02-01,5,0,,0,
Canada,2020-02-01,5,4,0.01,0,0.0
British Columbia,2020-02-08,6,4,0.08,0,0.0
Alberta,2020-02-08,6,0,0.0,0,0.0
Saskatchewan,2020-02-08,6,0,0.0,0,0.0
Manitoba,2020-02-08,6,0,0.0,0,0.0
Ontario,2020-02-08,6,4,0.03,0,0.0
Quebec,2020-02-08,6,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-08,6,0,0.0,0,0.0
New Brunswick,2020-02-08,6,0,0.0,0,0.0
Nova Scotia,2020-02-08,6,0,0.0,0,0.0
Prince Edward Island,2020-02-08,6,0,0.0,0,0.0
Yukon,2020-02-08,6,0,0.0,0,0.0
Northwest Territories,2020-02-08,6,0,0.0,0,0.0
Nunavut,2020-02-08,6,0,0.0,0,0.0
Repatriated travellers,2020-02-08,6,0,,0,
Canada,2020-02-08,6,8,0.02,0,0.0
British Columbia,2020-02-15,7,4,0.08,0,0.0
Alberta,2020-02-15,7,0,0.0,0,0.0
Saskatchewan,2020-02-15,7,0,0.0,0,0.0
Manitoba,2020-02-15,7,0,0.0,0,0.0
Ontario,2020-02-15,7,4,0.03,0,0.0
Quebec,2020-02-15,7,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-15,7,0,0.0,0,0.0
New Brunswick,2020-02-15,7,0,0.0,0,0.0
Nova Scotia,2020-02-15,7,0,0.0,0,0.0
Prince Edward Island,2020-02-15,7,0,0.0,0,0.0
Yukon,2020-02-15,7,0,0.0,0,0.0
Northwest Territories,2020-02-15,7,0,0.0,0,0.0
Nunavut,2020-02-15,7,0,0.0,0,0.0
Repatriated travellers,2020-02-15,7,0,,0,
Canada,2020-02-15,7,8,0.02,0,0.0
British Columbia,2020-02-22,8,6,0.11,0,0.0
Alberta,2020-02-22,8,0,0.0,0,0.0
Saskatchewan,2020-02-22,8,0,0.0,0,0.0
Manitoba,2020-02-22,8,0,0.0,0,0.0
Ontario,2020-02-22,8,5,0.03,0,0.0
Quebec,2020-02-22,8,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-22,8,0,0.0,0,0.0
New Brunswick,2020-02-22,8,0,0.0,0,0.0
Nova Scotia,2020-02-22,8,0,0.0,0,0.0
Prince Edward Island,2020-02-22,8,0,0.0,0,0.0
Yukon,2020-02-22,8,0,0.0,0,0.0
Northwest Territories,2020-02-22,8,0,0.0,0,0.0
Nunavut,2020-02-22,8,0,0.0,0,0.0
Repatriated travellers,2020-02-22,8,0,,0,
Canada,2020-02-22,8,11,0.03,0,0.0
British Columbia,2020-02-29,9,7,0.13,0,0.0
Alberta,2020-02-29,9,0,0.0,0,0.0
Saskatchewan,2020-02-29,9,0,0.0,0,0.0
Manitoba,2020-02-29,9,0,0.0,0,0.0
Ontario,2020-02-29,9,18,0.12,0,0.0
Quebec,2020-02-29,9,0,0.0,0,0.0
Newfoundland and Labrador,2020-02-29,9,0,0.0,0,0.0
New Brunswick,2020-02-29,9,0,0.0,0,0.0
Nova Scotia,2020-02-29,9,0,0.0,0,0.0
Prince Edward Island,2020-02-29,9,0,0.0,0,0.0
Yukon,2020-02-29,9,0,0.0,0,0.0
Northwest Territories,2020-02-29,9,0,0.0,0,0.0
Nunavut,2020-02-29,9,0,0.0,0,0.0
Repatriated travellers,2020-02-29,9,0,,0,
Canada,2020-02-29,9,25,0.06,0,0.0
British Columbia,2020-03-07,10,27,0.51,0,0.0
Alberta,2020-03-07,10,2,0.04,0,0.0
Saskatchewan,2020-03-07,10,0,0.0,0,0.0
Manitoba,2020-03-07,10,0,0.0,0,0.0
Ontario,2020-03-07,10,33,0.22,0,0.0
Quebec,2020-03-07,10,1,0.01,0,0.0
Newfoundland and Labrador,2020-03-07,10,0,0.0,0,0.0
New Brunswick,2020-03-07,10,0,0.0,0,0.0
Nova Scotia,2020-03-07,10,0,0.0,0,0.0
Prince Edward Island,2020-03-07,10,0,0.0,0,0.0
Yukon,2020-03-07,10,0,0.0,0,0.0
Northwest Territories,2020-03-07,10,0,0.0,0,0.0
Nunavut,2020-03-07,10,0,0.0,0,0.0
Repatriated travellers,2020-03-07,10,0,,0,
Canada,2020-03-07,10,63,0.16,0,0.0
British Columbia,2020-03-14,11,64,1.2,1,0.02
Alberta,2020-03-14,11,56,1.23,0,0.0
Saskatchewan,2020-03-14,11,2,0.17,0,0.0
Manitoba,2020-03-14,11,4,0.28,0,0.0
Ontario,2020-03-14,11,181,1.2,1,0.01
Quebec,2020-03-14,11,7,0.08,1,0.01
Newfoundland and Labrador,2020-03-14,11,0,0.0,0,0.0
New Brunswick,2020-03-14,11,2,0.25,0,0.0
Nova Scotia,2020-03-14,11,2,0.2,0,0.0
Prince Edward Island,2020-03-14,11,1,0.59,0,0.0
Yukon,2020-03-14,11,0,0.0,0,0.0
Northwest Territories,2020-03-14,11,0,0.0,0,0.0
Nunavut,2020-03-14,11,0,0.0,0,0.0
Repatriated travellers,2020-03-14,11,2,,0,
Canada,2020-03-14,11,321,0.82,3,0.01
British Columbia,2020-03-21,12,424,7.97,10,0.19
Alberta,2020-03-21,12,244,5.37,1,0.02
Saskatchewan,2020-03-21,12,44,3.68,0,0.0
Manitoba,2020-03-21,12,19,1.35,0,0.0
Ontario,2020-03-21,12,628,4.16,2,0.01
Quebec,2020-03-21,12,288,3.31,5,0.06
Newfoundland and Labrador,2020-03-21,12,6,1.14,0,0.0
New Brunswick,2020-03-21,12,17,2.09,0,0.0
Nova Scotia,2020-03-21,12,30,2.94,0,0.0
Prince Edward Island,2020-03-21,12,2,1.17,0,0.0
Yukon,2020-03-21,12,1,2.28,0,0.0
Northwest Territories,2020-03-21,12,1,2.19,0,0.0
Nunavut,2020-03-21,12,0,0.0,0,0.0
Repatriated travellers,2020-03-21,12,13,,0,
Canada,2020-03-21,12,1717,4.41,18,0.05
British Columbia,2020-03-28,13,884,16.62,16,0.3
Alberta,2020-03-28,13,666,14.66,1,0.02
Saskatchewan,2020-03-28,13,134,11.22,0,0.0
Manitoba,2020-03-28,13,64,4.54,1,0.07
Ontario,2020-03-28,13,1955,12.94,29,0.19
Quebec,2020-03-28,13,2368,27.23,41,0.47
Newfoundland and Labrador,2020-03-28,13,120,22.81,0,0.0
New Brunswick,2020-03-28,13,51,6.28,0,0.0
Nova Scotia,2020-03-28,13,102,10.0,0,0.0
Prince Edward Island,2020-03-28,13,13,7.62,0,0.0
Yukon,2020-03-28,13,4,9.13,0,0.0
Northwest Territories,2020-03-28,13,1,2.19,0,0.0
Nunavut,2020-03-28,13,0,0.0,0,0.0
Repatriated travellers,2020-03-28,13,13,,0,
Canada,2020-03-28,13,6375,16.38,88,0.23
British Columbia,2020-04-04,14,1203,22.62,38,0.71
Alberta,2020-04-04,14,1232,27.12,23,0.51
Saskatchewan,2020-04-04,14,231,19.33,3,0.25
Manitoba,2020-04-04,14,194,13.77,2,0.14
Ontario,2020-04-04,14,4753,31.46,176,1.16
Quebec,2020-04-04,14,6749,77.61,188,2.16
Newfoundland and Labrador,2020-04-04,14,195,37.07,1,0.19
New Brunswick,2020-04-04,14,98,12.07,0,0.0
Nova Scotia,2020-04-04,14,246,24.12,0,0.0
Prince Edward Island,2020-04-04,14,22,12.89,0,0.0
Yukon,2020-04-04,14,6,13.7,0,0.0
Northwest Territories,2020-04-04,14,4,8.77,0,0.0
Nunavut,2020-04-04,14,0,0.0,0,0.0
Repatriated travellers,2020-04-04,14,13,,0,
Canada,2020-04-04,14,14946,38.39,431,1.11
British Columbia,2020-04-11,15,1445,27.17,58,1.09
Alberta,2020-04-11,15,1553,34.18,45,0.99
Saskatchewan,2020-04-11,15,289,24.19,4,0.33
Manitoba,2020-04-11,15,242,17.17,4,0.28
Ontario,2020-04-11,15,7921,52.42,430,2.85
Quebec,2020-04-11,15,11263,129.52,581,6.68
Newfoundland and Labrador,2020-04-11,15,241,45.82,2,0.38
New Brunswick,2020-04-11,15,112,13.79,0,0.0
Nova Scotia,2020-04-11,15,422,41.38,2,0.2
Prince Edward Island,2020-04-11,15,24,14.06,0,0.0
Yukon,2020-04-11,15,8,18.27,0,0.0
Northwest Territories,2020-04-11,15,5,10.96,0,0.0
Nunavut,2020-04-11,15,0,0.0,0,0.0
Repatriated travellers,2020-04-11,15,13,,0,
Canada,2020-04-11,15,23538,60.46,1126,2.89
British Columbia,2020-04-18,16,1618,30.42,78,1.47
Alberta,2020-04-18,16,2495,54.92,57,1.25
Saskatchewan,2020-04-18,16,313,26.2,4,0.33
Manitoba,2020-04-18,16,253,17.95,5,0.35
Ontario,2020-04-18,16,12182,80.63,799,5.29
Quebec,2020-04-18,16,17262,198.51,1180,13.57
Newfoundland and Labrador,2020-04-18,16,256,48.67,3,0.57
New Brunswick,2020-04-18,16,118,14.53,0,0.0
Nova Scotia,2020-04-18,16,650,63.74,7,0.69
Prince Edward Island,2020-04-18,16,26,15.23,0,0.0
Yukon,2020-04-18,16,10,22.84,0,0.0
Northwest Territories,2020-04-18,16,5,10.96,0,0.0
Nunavut,2020-04-18,16,0,0.0,0,0.0
Repatriated travellers,2020-04-18,16,13,,0,
Canada,2020-04-18,16,35201,90.42,2133,5.48
British Columbia,2020-04-25,17,1948,36.62,100,1.88
Alberta,2020-04-25,17,4231,93.13,84,1.85
Saskatchewan,2020-04-25,17,349,29.21,4,0.33
Manitoba,2020-04-25,17,267,18.95,6,0.43
Ontario,2020-04-25,17,15835,104.8,1266,8.38
Quebec,2020-04-25,17,22279,256.21,1929,22.18
Newfoundland and Labrador,2020-04-25,17,257,48.86,3,0.57
New Brunswick,2020-04-25,17,118,14.53,0,0.0
Nova Scotia,2020-04-25,17,849,83.26,20,1.96
Prince Edward Island,2020-04-25,17,27,15.82,0,0.0
Yukon,2020-04-25,17,11,25.12,0,0.0
Northwest Territories,2020-04-25,17,5,10.96,0,0.0
Nunavut,2020-04-25,17,0,0.0,0,0.0
Repatriated travellers,2020-04-25,17,13,,0,
Canada,2020-04-25,17,46189,118.65,3412,8.76
British Columbia,2020-05-02,18,2171,40.81,114,2.14
Alberta,2020-05-02,18,5567,122.54,104,2.29
Saskatchewan,2020-05-02,18,421,35.24,6,0.5
Manitoba,2020-05-02,18,280,19.87,6,0.43
Ontario,2020-05-02,18,18743,124.05,1695,11.22
Quebec,2020-05-02,18,27644,317.91,2767,31.82
Newfoundland and Labrador,2020-05-02,18,259,49.24,3,0.57
New Brunswick,2020-05-02,18,118,14.53,0,0.0
Nova Scotia,2020-05-02,18,961,94.24,34,3.33
Prince Edward Island,2020-05-02,18,27,15.82,0,0.0
Yukon,2020-05-02,18,11,25.12,0,0.0
Northwest Territories,2020-05-02,18,5,10.96,0,0.0
Nunavut,2020-05-02,18,0,0.0,0,0.0
Repatriated travellers,2020-05-02,18,13,,0,
Canada,2020-05-02,18,56220,144.41,4729,12.15
British Columbia,2020-05-09,19,2330,43.8,129,2.43
Alberta,2020-05-09,19,6092,134.09,117,2.58
Saskatchewan,2020-05-09,19,553,46.28,6,0.5
Manitoba,2020-05-09,19,284,20.15,7,0.5
Ontario,2020-05-09,19,21104,139.67,2021,13.38
Quebec,2020-05-09,19,32751,376.64,3424,39.38
Newfoundland and Labrador,2020-05-09,19,260,49.43,3,0.57
New Brunswick,2020-05-09,19,120,14.78,0,0.0
Nova Scotia,2020-05-09,19,1009,98.95,45,4.41
Prince Edward Island,2020-05-09,19,27,15.82,0,0.0
Yukon,2020-05-09,19,11,25.12,0,0.0
Northwest Territories,2020-05-09,19,5,10.96,0,0.0
Nunavut,2020-05-09,19,0,0.0,0,0.0
Repatriated travellers,2020-05-09,19,13,,0,
Canada,2020-05-09,19,64559,165.83,5752,14.78
British Columbia,2020-05-16,20,2428,45.64,141,2.65
Alberta,2020-05-16,20,6530,143.73,128,2.82
Saskatchewan,2020-05-16,20,591,49.46,6,0.5
Manitoba,2020-05-16,20,289,20.51,7,0.5
Ontario,2020-05-16,20,23329,154.4,2253,14.91
Quebec,2020-05-16,20,37435,430.5,3963,45.57
Newfoundland and Labrador,2020-05-16,20,260,49.43,3,0.57
New Brunswick,2020-05-16,20,120,14.78,0,0.0
Nova Scotia,2020-05-16,20,1036,101.6,53,5.2
Prince Edward Island,2020-05-16,20,27,15.82,0,0.0
Yukon,2020-05-16,20,11,25.12,0,0.0
Northwest Territories,2020-05-16,20,5,10.96,0,0.0
Nunavut,2020-05-16,20,0,0.0,0,0.0
Repatriated travellers,2020-05-16,20,13,,0,
Canada,2020-05-16,20,72074,185.14,6554,16.84
British Columbia,2020-05-23,21,2517,47.32,157,2.95
Alberta,2020-05-23,21,6773,149.08,139,3.06
Saskatchewan,2020-05-23,21,630,52.73,7,0.59
Manitoba,2020-05-23,21,292,20.72,7,0.5
Ontario,2020-05-23,21,25950,171.75,2421,16.02
Quebec,2020-05-23,21,41559,477.93,4388,50.46
Newfoundland and Labrador,2020-05-23,21,260,49.43,3,0.57
New Brunswick,2020-05-23,21,121,14.9,0,0.0
Nova Scotia,2020-05-23,21,1049,102.87,57,5.59
Prince Edward Island,2020-05-23,21,27,15.82,0,0.0
Yukon,2020-05-23,21,11,25.12,0,0.0
Northwest Territories,2020-05-23,21,5,10.96,0,0.0
Nunavut,2020-05-23,21,0,0.0,0,0.0
Repatriated travellers,2020-05-23,21,13,,0,
Canada,2020-05-23,21,79207,203.46,7179,18.44
British Columbia,2020-05-30,22,2573,48.37,164,3.08
Alberta,2020-05-30,22,6939,152.74,144,3.17
Saskatchewan,2020-05-30,22,645,53.98,10,0.84
Manitoba,2020-05-30,22,294,20.86,7,0.5
Ontario,2020-05-30,22,28563,189.04,2605,17.24
Quebec,2020-05-30,22,44400,510.6,4793,55.12
Newfoundland and Labrador,2020-05-30,22,261,49.62,3,0.57
New Brunswick,2020-05-30,22,129,15.89,0,0.0
Nova Scotia,2020-05-30,22,1055,103.46,59,5.79
Prince Edward Island,2020-05-30,22,27,15.82,0,0.0
Yukon,2020-05-30,22,11,25.12,0,0.0
Northwest Territories,2020-05-30,22,5,10.96,0,0.0
Nunavut,2020-05-30,22,0,0.0,0,0.0
Repatriated travellers,2020-05-30,22,13,,0,
Canada,2020-05-30,22,84915,218.12,7785,20.0
British Columbia,2020-06-06,23,2632,49.48,167,3.14
Alberta,2020-06-06,23,7110,156.5,150,3.3
Saskatchewan,2020-06-06,23,650,54.4,11,0.92
Manitoba,2020-06-06,23,300,21.29,7,0.5
Ontario,2020-06-06,23,30865,204.28,2697,17.85
Quebec,2020-06-06,23,46048,529.55,5006,57.57
Newfoundland and Labrador,2020-06-06,23,261,49.62,3,0.57
New Brunswick,2020-06-06,23,136,16.75,1,0.12
Nova Scotia,2020-06-06,23,1058,103.75,61,5.98
Prince Edward Island,2020-06-06,23,27,15.82,0,0.0
Yukon,2020-06-06,23,11,25.12,0,0.0
Northwest Territories,2020-06-06,23,5,10.96,0,0.0
Nunavut,2020-06-06,23,0,0.0,0,0.0
Repatriated travellers,2020-06-06,23,13,,0,
Canada,2020-06-06,23,89116,228.91,8103,20.81
British Columbia,2020-06-13,24,2709,50.93,168,3.16
Alberta,2020-06-13,24,7358,161.96,151,3.32
Saskatchewan,2020-06-13,24,664,55.57,13,1.09
Manitoba,2020-06-13,24,303,21.5,7,0.5
Ontario,2020-06-13,24,32337,214.02,2756,18.24
Quebec,2020-06-13,24,47048,541.05,5116,58.83
Newfoundland and Labrador,2020-06-13,24,261,49.62,3,0.57
New Brunswick,2020-06-13,24,157,19.33,2,0.25
Nova Scotia,2020-06-13,24,1060,103.95,62,6.08
Prince Edward Island,2020-06-13,24,27,15.82,0,0.0
Yukon,2020-06-13,24,11,25.12,0,0.0
Northwest Territories,2020-06-13,24,5,10.96,0,0.0
Nunavut,2020-06-13,24,0,0.0,0,0.0
Repatriated travellers,2020-06-13,24,13,,0,
Canada,2020-06-13,24,91953,236.2,8278,21.26
British Columbia,2020-06-20,25,2790,52.45,168,3.16
Alberta,2020-06-20,25,7661,168.63,152,3.35
Saskatchewan,2020-06-20,25,726,60.76,13,1.09
Manitoba,2020-06-20,25,313,22.21,7,0.5
Ontario,2020-06-20,25,33563,222.13,2794,18.49
Quebec,2020-06-20,25,47726,548.85,5178,59.55
Newfoundland and Labrador,2020-06-20,25,261,49.62,3,0.57
New Brunswick,2020-06-20,25,164,20.2,2,0.25
Nova Scotia,2020-06-20,25,1061,104.05,63,6.18
Prince Edward Island,2020-06-20,25,27,15.82,0,0.0
Yukon,2020-06-20,25,11,25.12,0,0.0
Northwest Territories,2020-06-20,25,5,10.96,0,0.0
Nunavut,2020-06-20,25,0,0.0,0,0.0
Repatriated travellers,2020-06-20,25,13,,0,
Canada,2020-06-20,25,94321,242.28,8380,21.53
British Columbia,2020-06-27,26,2878,54.1,174,3.27
Alberta,2020-06-27,26,7944,174.86,154,3.39
Saskatchewan,2020-06-27,26,777,65.03,13,1.09
Manitoba,2020-06-27,26,322,22.85,7,0.5
Ontario,2020-06-27,26,34813,230.41,2829,18.72
Quebec,2020-06-27,26,48231,554.66,5234,60.19
Newfoundland and Labrador,2020-06-27,26,261,49.62,3,0.57
New Brunswick,2020-06-27,26,165,20.32,2,0.25
Nova Scotia,2020-06-27,26,1061,104.05,63,6.18
Prince Edward Island,2020-06-27,26,27,15.82,0,0.0
Yukon,2020-06-27,26,11,25.12,0,0.0
Northwest Territories,2020-06-27,26,5,10.96,0,0.0
Nunavut,2020-06-27,26,0,0.0,0,0.0
Repatriated travellers,2020-06-27,26,13,,0,
Canada,2020-06-27,26,96508,247.9,8479,21.78
British Columbia,2020-07-04,27,2947,55.4,177,3.33
Alberta,2020-07-04,27,8286,182.39,156,3.43
Saskatchewan,2020-07-04,27,796,66.62,14,1.17
Manitoba,2020-07-04,27,325,23.06,7,0.5
Ontario,2020-07-04,27,35897,237.58,2847,18.84
Quebec,2020-07-04,27,48735,560.45,5273,60.64
Newfoundland and Labrador,2020-07-04,27,261,49.62,3,0.57
New Brunswick,2020-07-04,27,165,20.32,2,0.25
Nova Scotia,2020-07-04,27,1064,104.34,63,6.18
Prince Edward Island,2020-07-04,27,30,17.58,0,0.0
Yukon,2020-07-04,27,11,25.12,0,0.0
Northwest Territories,2020-07-04,27,5,10.96,0,0.0
Nunavut,2020-07-04,27,0,0.0,0,0.0
Repatriated travellers,2020-07-04,27,13,,0,
Canada,2020-07-04,27,98535,253.11,8542,21.94
British Columbia,2020-07-11,28,3053,57.39,187,3.52
Alberta,2020-07-11,28,8696,191.41,162,3.57
Saskatchewan,2020-07-11,28,815,68.21,15,1.26
Manitoba,2020-07-11,28,325,23.06,7,0.5
Ontario,2020-07-11,28,36765,243.33,2873,19.01
Quebec,2020-07-11,28,49407,568.18,5296,60.9
Newfoundland and Labrador,2020-07-11,28,262,49.81,3,0.57
New Brunswick,2020-07-11,28,166,20.44,2,0.25
Nova Scotia,2020-07-11,28,1066,104.54,63,6.18
Prince Edward Island,2020-07-11,28,34,19.92,0,0.0
Yukon,2020-07-11,28,11,25.12,0,0.0
Northwest Territories,2020-07-11,28,5,10.96,0,0.0
Nunavut,2020-07-11,28,0,0.0,0,0.0
Repatriated travellers,2020-07-11,28,13,,0,
Canada,2020-07-11,28,100618,258.46,8608,22.11
British Columbia,2020-07-18,29,3198,60.12,189,3.55
Alberta,2020-07-18,29,9434,207.66,170,3.74
Saskatchewan,2020-07-18,29,941,78.76,15,1.26
Manitoba,2020-07-18,29,337,23.91,7,0.5
Ontario,2020-07-18,29,37698,249.5,2893,19.15
Quebec,2020-07-18,29,50405,579.66,5313,61.1
Newfoundland and Labrador,2020-07-18,29,262,49.81,3,0.57
New Brunswick,2020-07-18,29,168,20.69,2,0.25
Nova Scotia,2020-07-18,29,1067,104.64,63,6.18
Prince Edward Island,2020-07-18,29,36,21.09,0,0.0
Yukon,2020-07-18,29,13,29.69,0,0.0
Northwest Territories,2020-07-18,29,5,10.96,0,0.0
Nunavut,2020-07-18,29,0,0.0,0,0.0
Repatriated travellers,2020-07-18,29,13,,0,
Canada,2020-07-18,29,103577,266.06,8655,22.23
British Columbia,2020-07-25,30,3419,64.28,191,3.59
Alberta,2020-07-25,30,10233,225.24,184,4.05
Saskatchewan,2020-07-25,30,1136,95.08,16,1.34
Manitoba,2020-07-25,30,388,27.53,7,0.5
Ontario,2020-07-25,30,38692,256.08,2902,19.21
Quebec,2020-07-25,30,51499,592.24,5325,61.24
Newfoundland and Labrador,2020-07-25,30,265,50.38,3,0.57
New Brunswick,2020-07-25,30,170,20.93,2,0.25
Nova Scotia,2020-07-25,30,1067,104.64,63,6.18
Prince Edward Island,2020-07-25,30,36,21.09,0,0.0
Yukon,2020-07-25,30,14,31.97,0,0.0
Northwest Territories,2020-07-25,30,5,10.96,0,0.0
Nunavut,2020-07-25,30,0,0.0,0,0.0
Repatriated travellers,2020-07-25,30,13,,0,
Canada,2020-07-25,30,106937,274.69,8693,22.33
British Columbia,2020-08-01,31,3641,68.45,195,3.67
Alberta,2020-08-01,31,10942,240.85,200,4.4
Saskatchewan,2020-08-01,31,1334,111.65,18,1.51
Manitoba,2020-08-01,31,417,29.59,8,0.57
Ontario,2020-08-01,31,39500,261.43,2914,19.29
Quebec,2020-08-01,31,52435,603.0,5335,61.35
Newfoundland and Labrador,2020-08-01,31,266,50.57,3,0.57
New Brunswick,2020-08-01,31,170,20.93,2,0.25
Nova Scotia,2020-08-01,31,1070,104.93,64,6.28
Prince Edward Island,2020-08-01,31,36,21.09,0,0.0
Yukon,2020-08-01,31,14,31.97,0,0.0
Northwest Territories,2020-08-01,31,5,10.96,0,0.0
Nunavut,2020-08-01,31,0,0.0,0,0.0
Repatriated travellers,2020-08-01,31,13,,0,
Canada,2020-08-01,31,109843,282.16,8739,22.45
British Columbia,2020-08-08,32,3934,73.96,195,3.67
Alberta,2020-08-08,32,11570,254.67,214,4.71
Saskatchewan,2020-08-08,32,1433,119.94,20,1.67
Manitoba,2020-08-08,32,507,35.98,8,0.57
Ontario,2020-08-08,32,40091,265.34,2920,19.33
Quebec,2020-08-08,32,53305,613.01,5347,61.49
Newfoundland and Labrador,2020-08-08,32,267,50.76,3,0.57
New Brunswick,2020-08-08,32,176,21.67,2,0.25
Nova Scotia,2020-08-08,32,1071,105.03,64,6.28
Prince Edward Island,2020-08-08,32,36,21.09,0,0.0
Yukon,2020-08-08,32,15,34.26,0,0.0
Northwest Territories,2020-08-08,32,5,10.96,0,0.0
Nunavut,2020-08-08,32,0,0.0,0,0.0
Repatriated travellers,2020-08-08,32,13,,0,
Canada,2020-08-08,32,112423,288.78,8773,22.54
British Columbia,2020-08-15,33,4358,81.93,196,3.68
Alberta,2020-08-15,33,12157,267.59,225,4.95
Saskatchewan,2020-08-15,33,1566,131.07,21,1.76
Manitoba,2020-08-15,33,663,47.05,9,0.64
Ontario,2020-08-15,33,40702,269.38,2924,19.35
Quebec,2020-08-15,33,53898,619.83,5362,61.66
Newfoundland and Labrador,2020-08-15,33,268,50.95,3,0.57
New Brunswick,2020-08-15,33,184,22.66,2,0.25
Nova Scotia,2020-08-15,33,1074,105.32,64,6.28
Prince Edward Island,2020-08-15,33,41,24.02,0,0.0
Yukon,2020-08-15,33,15,34.26,0,0.0
Northwest Territories,2020-08-15,33,5,10.96,0,0.0
Nunavut,2020-08-15,33,0,0.0,0,0.0
Repatriated travellers,2020-08-15,33,13,,0,
Canada,2020-08-15,33,114944,295.26,8806,22.62
British Columbia,2020-08-22,34,4915,92.4,202,3.8
Alberta,2020-08-22,34,12850,282.85,232,5.11
Saskatchewan,2020-08-22,34,1597,133.66,22,1.84
Manitoba,2020-08-22,34,872,61.88,12,0.85
Ontario,2020-08-22,34,41432,274.21,2932,19.41
Quebec,2020-08-22,34,54480,626.52,5378,61.85
Newfoundland and Labrador,2020-08-22,34,268,50.95,3,0.57
New Brunswick,2020-08-22,34,188,23.15,2,0.25
Nova Scotia,2020-08-22,34,1079,105.81,65,6.37
Prince Edward Island,2020-08-22,34,44,25.78,0,0.0
Yukon,2020-08-22,34,15,34.26,0,0.0
Northwest Territories,2020-08-22,34,5,10.96,0,0.0
Nunavut,2020-08-22,34,0,0.0,0,0.0
Repatriated travellers,2020-08-22,34,13,,0,
Canada,2020-08-22,34,117758,302.49,8848,22.73
British Columbia,2020-08-29,35,5496,103.32,204,3.84
Alberta,2020-08-29,35,13698,301.51,237,5.22
Saskatchewan,2020-08-29,35,1615,135.17,24,2.01
Manitoba,2020-08-29,35,1151,81.68,14,0.99
Ontario,2020-08-29,35,42280,279.83,2934,19.42
Quebec,2020-08-29,35,55194,634.73,5394,62.03
Newfoundland and Labrador,2020-08-29,35,269,51.14,3,0.57
New Brunswick,2020-08-29,35,191,23.52,2,0.25
Nova Scotia,2020-08-29,35,1084,106.3,65,6.37
Prince Edward Island,2020-08-29,35,44,25.78,0,0.0
Yukon,2020-08-29,35,15,34.26,0,0.0
Northwest Territories,2020-08-29,35,5,10.96,0,0.0
Nunavut,2020-08-29,35,0,0.0,0,0.0
Repatriated travellers,2020-08-29,35,13,,0,
Canada,2020-08-29,35,121055,310.96,8877,22.8
British Columbia,2020-09-05,36,6162,115.84,211,3.97
Alberta,2020-09-05,36,14694,323.43,244,5.37
Saskatchewan,2020-09-05,36,1643,137.51,24,2.01
Manitoba,2020-09-05,36,1294,91.82,16,1.14
Ontario,2020-09-05,36,43256,286.29,2939,19.45
Quebec,2020-09-05,36,56441,649.07,5402,62.12
Newfoundland and Labrador,2020-09-05,36,270,51.33,3,0.57
New Brunswick,2020-09-05,36,192,23.64,2,0.25
Nova Scotia,2020-09-05,36,1086,106.5,65,6.37
Prince Edward Island,2020-09-05,36,49,28.71,0,0.0
Yukon,2020-09-05,36,15,34.26,0,0.0
Northwest Territories,2020-09-05,36,5,10.96,0,0.0
Nunavut,2020-09-05,36,0,0.0,0,0.0
Repatriated travellers,2020-09-05,36,13,,0,
Canada,2020-09-05,36,125120,321.4,8906,22.88
British Columbia,2020-09-12,37,6962,130.88,213,4.0
Alberta,2020-09-12,37,15582,342.98,252,5.55
Saskatchewan,2020-09-12,37,1709,143.04,24,2.01
Manitoba,2020-09-12,37,1410,100.06,16,1.14
Ontario,2020-09-12,37,44767,296.29,2946,19.5
Quebec,2020-09-12,37,58164,668.89,5412,62.24
Newfoundland and Labrador,2020-09-12,37,271,51.52,3,0.57
New Brunswick,2020-09-12,37,193,23.77,2,0.25
Nova Scotia,2020-09-12,37,1086,106.5,65,6.37
Prince Edward Island,2020-09-12,37,55,32.22,0,0.0
Yukon,2020-09-12,37,15,34.26,0,0.0
Northwest Territories,2020-09-12,37,5,10.96,0,0.0
Nunavut,2020-09-12,37,0,0.0,0,0.0
Repatriated travellers,2020-09-12,37,13,,0,
Canada,2020-09-12,37,130232,334.53,8933,22.95
British Columbia,2020-09-19,38,7842,147.42,223,4.19
Alberta,2020-09-19,38,16576,364.86,253,5.57
Saskatchewan,2020-09-19,38,1787,149.56,24,2.01
Manitoba,2020-09-19,38,1558,110.56,16,1.14
Ontario,2020-09-19,38,47139,311.98,2962,19.6
